Vset,Current_mA,Output_Voltage,V_2wire,VIA,R_2wire
0.0,0.47857042768106595,0.0120421,1.16544,0.016876,2435.2528543127723
0.012878449331672872,0.5279247754137116,0.0119347,1.91652,0.0186164,3630.289937611105
0.025756898663345743,0.5388908327960455,0.0118809,2.03173,0.0190031,3770.207018475949
0.03863534799501862,0.49745972383408554,0.0118917,1.14849,0.0175421,2308.709519532979
0.051513797326691486,0.5349292134107028,0.0121388,1.69941,0.0188634,3176.887628111728
0.06439224665836436,0.5553413367719751,0.0119669,2.08066,0.0195832,3746.63267837079
0.07727069599003723,0.5480306318504191,0.0120099,1.78036,0.0193254,3248.650525224539
0.0901491453217101,0.5589966892327531,0.0120099,2.03342,0.0197121,3637.624406668591
0.10302759465338297,0.5775797184612079,0.0119884,2.33008,0.0203674,4034.2136773912634
0.11590604398505584,0.6244896024070492,0.0124396,2.67284,0.0220216,4280.039234757048
0.12878449331672873,2.5613216333548254,0.0134064,2.75228,0.0903208,1074.5546221756838
0.1416629426484016,3.1559672254459494,0.0137072,2.76873,0.11129,877.2999851444175
0.15454139198007447,3.5477053084031804,0.0137179,2.78055,0.125104,783.7601374087983
0.16741984131174734,4.092690285837095,0.0139757,2.80063,0.144322,684.3004978147707
0.1802982906434202,4.388464732430689,0.0137824,2.80978,0.154752,640.2649152528828
0.19317673997509308,4.671194476681712,0.0140616,2.81948,0.164722,603.588656835988
0.20605518930676595,5.147042531699978,0.0140724,2.8347,0.181502,550.7434575373031
0.21893363863843882,5.3593025252525255,0.0141476,2.8406,0.188987,530.0316574060453
0.23181208797011169,5.637183043197937,0.0138898,2.84855,0.198786,505.3144413036544
0.24469053730178456,5.969199075865034,0.0142013,2.85658,0.210494,478.5533140534495
0.25756898663345745,6.4931423812594025,0.0142657,2.87311,0.22897,442.4837515179722
0.2704474359651303,6.806640608209757,0.0143302,2.87989,0.240025,423.100052693608
0.2833258852968032,7.055227261981518,0.0144805,2.88765,0.248791,409.29227263318234
0.29620433462847606,7.595930174081238,0.0146202,2.90209,0.267858,382.0585410200958
0.30908278396014893,7.8478347195357845,0.0144913,2.90692,0.276741,370.41045127565457
0.3219612332918218,8.17043588007737,0.0145772,2.91338,0.288117,356.57583545866
0.33483968262349467,8.46045364281109,0.0148243,2.92064,0.298344,345.2108034988986
0.34771813195516754,8.94787178164625,0.0150499,2.93392,0.315532,327.89025944895815
0.3605965812868404,9.275690823124867,0.0151358,2.93898,0.327092,316.84755950176157
0.3734750306185133,9.471531506554912,0.0153184,2.94577,0.333998,311.01306034418366
0.38635347995018615,10.071984826993338,0.0156192,2.95596,0.355172,293.4833650739728
0.399231929281859,10.401250128949066,0.0160059,2.96509,0.366783,285.07054087157024
0.4121103786135319,10.645866655920912,0.0158663,2.96909,0.375409,278.89603504931006
0.42498882794520476,10.9288232645605,0.0163927,2.97444,0.385387,272.16470867869015
0.43786727727687763,11.51895425531915,0.0166183,2.98458,0.406197,259.1016453270313
0.4507457266085505,11.80372577906727,0.0167901,2.99165,0.416239,253.4496358179883
0.46362417594022337,12.130920943477328,0.0171769,2.99675,0.427777,247.03400623604938
0.47650262527189624,12.636006146572106,0.0169083,3.00388,0.445588,237.72384764270572
0.4893810746035691,12.860573533204386,0.0172306,3.0102,0.453507,234.06421122884154
0.502259523935242,13.140722695035462,0.0174025,3.01567,0.463386,229.4904222535123
0.5151379732669149,13.84598736299162,0.0174132,3.02612,0.488256,218.55573897809512
0.5280164225985877,14.078126348592306,0.0175743,3.03245,0.496442,215.40153319502062
0.5408948719302606,14.364826219643241,0.0176495,3.03679,0.506552,211.4045762591495
0.5537733212619335,14.644748517085752,0.0176388,3.03951,0.516423,207.54948413445686
0.5666517705936064,15.168067945411565,0.0178322,3.04753,0.534877,200.9174807871227
0.5795302199252792,15.484940780141844,0.0179718,3.05246,0.546051,197.12442193608692
0.5924086692569521,15.725530464216636,0.0181652,3.05854,0.554535,194.49518774324923
0.6052871185886249,16.31688085106383,0.018423,3.06775,0.575388,188.0108108897534
0.6181655679202979,16.569068977004086,0.0186164,3.07122,0.584281,185.35863446899106
0.6310440172519707,16.75830223511713,0.018713,3.07432,0.590954,183.45056419604026
0.6439224665836436,17.037912594025357,0.0189279,3.0785,0.600814,180.68527955000366
0.6568009159153164,17.6885880184827,0.0195617,3.08778,0.623759,174.5633962854241
0.6696793652469893,17.935303041048787,0.0196046,3.09219,0.632459,172.40801523803978
0.6825578145786622,18.293606984741025,0.0196691,3.09744,0.645094,169.31816686472067
0.6954362639103351,18.84678743821191,0.0200558,3.10629,0.664601,164.81800997564122
0.7083147132420079,19.111254599183326,0.0200881,3.11072,0.673927,162.76901047265255
0.7211931625736808,19.481440565226738,0.0204855,3.11527,0.686981,159.9096324303953
0.7340716119053536,19.735954051149797,0.0203459,3.11949,0.695956,158.06127192610998
0.7469500612370266,20.283037524177953,0.0204426,3.12693,0.715248,154.1647791299805
0.7598285105686994,20.548156920266496,0.0205392,3.1298,0.724597,152.31536395914424
0.7727069599003723,20.87966250805932,0.0206359,3.13533,0.736287,150.16190988670425
0.7855854092320451,21.411716215344942,0.0207326,3.14234,0.755049,146.75796972070867
0.798463858563718,21.664301353965183,0.0207541,3.14489,0.763956,145.16461660206716
0.8113423078953909,21.95979222007307,0.0208937,3.14863,0.774376,143.38159343428993
0.8242207572270638,22.173923844831293,0.020883,3.15203,0.781927,142.15030330478623
0.8370992065587367,22.656209176875137,0.0208723,3.16017,0.798934,139.48361684555505
0.8499776558904095,22.991174446593597,0.0209582,3.1624,0.810746,137.54843221889195
0.8628561052220824,23.229155190199876,0.0210764,3.16344,0.819138,136.18403140784994
0.8757345545537553,23.63980809155384,0.0210226,3.17018,0.833619,134.10345751210474
0.8886130038854282,23.968761454975287,0.0211301,3.17452,0.845219,132.44405665112296
0.901491453217101,24.246641972920695,0.0213986,3.18039,0.855018,131.16826666356297
0.9143699025487739,24.580784859230608,0.021592,3.18205,0.866801,129.4527419780525
0.9272483518804467,25.06270153664303,0.0214738,3.1877,0.883795,127.18900216480692
0.9401268012121197,25.304538974854935,0.0220001,3.19109,0.892323,126.10741508355395
0.9530052505437925,25.53486304534709,0.0221398,3.19413,0.900445,125.08898106590892
0.9658836998754654,26.12981490436278,0.0223009,3.20222,0.921425,122.5504279965389
0.9787621492071382,26.482532312486573,0.0225373,3.20655,0.933863,121.08169876519342
0.9916405985388111,26.78057540296583,0.0229132,3.2091,0.944373,119.82938946280467
1.004519047870484,27.08902589727058,0.0231603,3.21315,0.95525,118.614453402097
1.0173974972021569,27.6078647539222,0.0235362,3.22003,0.973546,116.63451805132941
